model,category,test,lag,statistic,p_value,critical_5pct,result
Raw return,pre_fit_arch,ARCH-LM raw return,12,211.97152961542437,1.0934587850687131e-38,NA,arch_effect_detected
sGARCH-Normal,serial_correlation,Ljung-Box standardized residuals,20,14.256087008324299,0.8172779332381602,NA,no_serial_correlation_detected
sGARCH-Normal,variance_dependence,Ljung-Box squared standardized residuals,20,12.913193392534453,0.881077368877699,NA,no_squared_residual_dependence_detected
sGARCH-Normal,remaining_arch,ARCH-LM standardized residuals,12,7.679842583873742,0.8096225937560271,NA,no_remaining_arch_detected
sGARCH-Normal,asymmetry,Sign Bias,NA,0.8756980190025488,0.38126984983322354,NA,no_sign_bias_detected
sGARCH-Normal,asymmetry,Negative Sign Bias,NA,0.5590603343917908,0.5761655593950007,NA,no_sign_bias_detected
sGARCH-Normal,asymmetry,Positive Sign Bias,NA,0.9222010910610826,0.3565036908679138,NA,no_sign_bias_detected
sGARCH-Normal,asymmetry,Joint Effect,NA,6.18583017557248,0.10291101358455075,NA,no_sign_bias_detected
sGARCH-Normal,parameter_stability,Nyblom joint stability,NA,12.899143598290529,NA,1.24,parameter_instability_flagged
sGARCH-Normal,parameter_stability,Nyblom mu,NA,0.049045325620565336,NA,0.47,parameter_stable_at_5pct
sGARCH-Normal,parameter_stability,Nyblom omega,NA,2.892422961481637,NA,0.47,parameter_instability_flagged
sGARCH-Normal,parameter_stability,Nyblom alpha1,NA,0.48487300948309653,NA,0.47,parameter_instability_flagged
sGARCH-Normal,parameter_stability,Nyblom beta1,NA,0.41282016309109953,NA,0.47,parameter_stable_at_5pct
sGARCH-Normal,distribution_fit,Adjusted Pearson group 20,NA,240.33165829145725,2.790867134451415e-40,NA,distribution_fit_flagged
sGARCH-Normal,distribution_fit,Adjusted Pearson group 30,NA,229.678391959799,4.241063323881362e-33,NA,distribution_fit_flagged
sGARCH-Normal,distribution_fit,Adjusted Pearson group 40,NA,372.7078248384781,4.688688737196326e-56,NA,distribution_fit_flagged
sGARCH-Normal,distribution_fit,Adjusted Pearson group 50,NA,472.7221823402728,1.1847769773263978e-70,NA,distribution_fit_flagged
sGARCH-Student-t,serial_correlation,Ljung-Box standardized residuals,20,13.422705910231894,0.8585201427341621,NA,no_serial_correlation_detected
sGARCH-Student-t,variance_dependence,Ljung-Box squared standardized residuals,20,14.880644646952861,0.7831959149949697,NA,no_squared_residual_dependence_detected
sGARCH-Student-t,remaining_arch,ARCH-LM standardized residuals,12,11.415271253264788,0.49370444485267817,NA,no_remaining_arch_detected
sGARCH-Student-t,asymmetry,Sign Bias,NA,0.793570977318362,0.4275129364209479,NA,no_sign_bias_detected
sGARCH-Student-t,asymmetry,Negative Sign Bias,NA,0.557711048805682,0.5770866004656645,NA,no_sign_bias_detected
sGARCH-Student-t,asymmetry,Positive Sign Bias,NA,1.7513088905790994,0.08000295225586893,NA,no_sign_bias_detected
sGARCH-Student-t,asymmetry,Joint Effect,NA,7.4028774863083955,0.06010716614375426,NA,no_sign_bias_detected
sGARCH-Student-t,parameter_stability,Nyblom joint stability,NA,11.889827095523572,NA,1.47,parameter_instability_flagged
sGARCH-Student-t,parameter_stability,Nyblom mu,NA,0.2003492692827901,NA,0.47,parameter_stable_at_5pct
sGARCH-Student-t,parameter_stability,Nyblom omega,NA,1.2641330649284086,NA,0.47,parameter_instability_flagged
sGARCH-Student-t,parameter_stability,Nyblom alpha1,NA,0.40044070457369685,NA,0.47,parameter_stable_at_5pct
sGARCH-Student-t,parameter_stability,Nyblom beta1,NA,0.4256542123148507,NA,0.47,parameter_stable_at_5pct
